pH,Ct_0,pH_Cl2,Replicate,Time,MCAN,MBAN,DCAN,BCAN,DBAN,TCAN,BDCAN
5.2,2,5.2_2,4,72,3.17325,1.841615077,2.054186286,0.714065708,0.609139787,1.040141568,1.011842478
5.2,2,5.2_2,4,96,3.17325,1.831488682,2.157257857,0.740284891,0.595087247,0.974556803,0.932163543
5.2,2,5.2_2,4,168,3.17325,1.973048909,2.112081269,0.754382748,0.643962738,0.792853782,0.877150639
5.2,2,5.2_2,4,288,3.17325,1.681420774,1.993206989,0.689679919,0.592680908,0.461603369,0.740657634
5.2,2,5.2_2,4,456,3.17325,1.744744239,1.992987799,0.69426893,0.597039296,0.290956011,0.63548801
5.2,4,5.2_4,1,1,3.29883,2.203979141,2.350338504,0.815057855,0.686643063,1.579432944,1.205489421
5.2,4,5.2_4,1,3,3.29883,1.90558013,2.16121098,0.749832285,0.631665423,1.508085738,1.173173451
5.2,4,5.2_4,1,6,3.29883,1.753491416,2.033695829,0.714314692,0.600242171,1.416401147,1.130087578
5.2,4,5.2_4,1,12,3.29883,2.010443968,2.216495317,0.76711285,0.642815891,1.296600061,1.108867625
5.2,4,5.2_4,1,24,3.29883,1.743123283,2.003522733,0.705000163,0.589664941,1.184560313,0.990934699
5.2,4,5.2_4,1,48,3.29883,1.834511255,2.051394184,0.724570441,0.608428063,0.974337167,0.963206107
5.2,4,5.2_4,1,72,3.29883,1.75818307,2.046066465,0.710541087,0.59254703,0.821411199,0.920625091
5.2,4,5.2_4,1,96,3.29883,1.75980179,2.080965889,0.732839719,0.592461327,0.648190377,0.806503065
5.2,4,5.2_4,1,168,3.29883,1.716002101,1.929225457,0.704648385,0.602796063,0.367730417,0.625390282
5.2,4,5.2_4,1,288,3.29883,1.774825101,1.979082402,0.704735344,0.605919808,0.069256874,0.38101501
5.2,4,5.2_4,1,456,3.29883,1.789216586,1.943391214,0.700936256,0.604641779,0.02674369,0.338873952
5.2,4,5.2_4,2,1,3.5936,1.862486842,2.140749229,0.744672006,0.628991557,1.553669039,1.192131199
5.2,4,5.2_4,2,3,3.5936,1.875132167,2.16281727,0.747312675,0.624868078,1.508114626,1.175687519
5.2,4,5.2_4,2,6,3.5936,1.904789303,2.121555423,0.745163086,0.626726669,1.413437619,1.131534584
5.2,4,5.2_4,2,12,3.5936,1.931188835,2.166702247,0.750098805,0.628526958,1.356887648,1.111881406
5.2,4,5.2_4,2,24,3.5936,1.923345049,2.111079216,0.739787602,0.617662025,1.112301337,0.969523748
5.2,4,5.2_4,2,48,3.5936,2.287536523,2.292312213,0.80583284,0.675178554,0.97024423,0.951861902
5.2,4,5.2_4,2,72,3.5936,2.142554791,2.259889633,0.784278692,0.653555137,0.812445617,0.897102778
5.2,4,5.2_4,2,96,3.5936,2.114927058,2.28468828,0.801523244,0.644958229,0.647486597,0.800259961
5.2,4,5.2_4,2,168,3.5936,1.986144129,2.094099806,0.759951984,0.64702575,0.369496724,0.640803603
5.2,4,5.2_4,2,288,3.5936,1.737110458,1.937557833,0.69360999,0.599197515,0.069256874,0.388793225
5.2,4,5.2_4,2,456,3.5936,1.723367777,1.90023206,0.688406464,0.595052031,0.02645264,0.341540454
5.2,4,5.2_4,3,1,3.44983,2.15376322,2.283416572,0.798719035,0.679957257,1.541268409,1.191622884
5.2,4,5.2_4,3,3,3.44983,1.832495961,2.088786474,0.736940866,0.631522502,1.477964564,1.16886765
5.2,4,5.2_4,3,6,3.44983,2.143569152,2.258175881,0.791691809,0.664829746,1.405139926,1.115711514
5.2,4,5.2_4,3,12,3.44983,1.921019447,2.151327696,0.747959941,0.62707266,1.34770571,1.105328636
5.2,4,5.2_4,3,24,3.44983,1.845905774,2.057827826,0.722160846,0.6048538,1.117529502,0.978038667
5.2,4,5.2_4,3,48,3.44983,2.004439686,2.155212869,0.756593096,0.632717368,0.972992915,0.949087633
5.2,4,5.2_4,3,72,3.44983,1.87683606,2.099496077,0.731683141,0.613359091,0.808797817,0.907758757
5.2,4,5.2_4,3,96,3.44983,1.812776101,2.128568737,0.743105935,0.592665016,0.649979289,0.798675241
5.2,4,5.2_4,3,168,3.44983,1.973063216,2.08616086,0.756531962,0.642680907,0.3640315,0.622674622
5.2,4,5.2_4,3,288,3.44983,1.745733791,1.937123734,0.692172136,0.598164751,0.069256874,0.374526841
5.2,4,5.2_4,3,456,3.44983,1.75745837,1.903057222,0.691118225,0.602440041,0.025840666,0.340964085
5.2,4,5.2_4,4,1,3.6125,1.850896499,2.122566936,0.742177877,0.631984804,1.545772462,1.200330611
5.2,4,5.2_4,4,3,3.6125,1.803353218,2.055062989,0.73083456,0.629599713,1.437182852,1.159914262
5.2,4,5.2_4,4,6,3.6125,1.82962947,2.087798468,0.733933552,0.617216692,1.425447509,1.134465814
5.2,4,5.2_4,4,12,3.6125,1.891518593,2.117202649,0.738785109,0.622998848,1.331173193,1.096968408
5.2,4,5.2_4,4,24,3.6125,1.813995089,2.044628855,0.71889172,0.601062066,1.111341567,0.982063208
5.2,4,5.2_4,4,48,3.6125,2.128457275,2.207438356,0.776522559,0.652933056,0.953179625,0.941633073
5.2,4,5.2_4,4,72,3.6125,2.206380857,2.282967922,0.790811019,0.659538251,0.804800326,0.895116851
5.2,4,5.2_4,4,96,3.6125,1.895512697,2.168450184,0.757621788,0.60496847,0.644223097,0.785647345
